Results K-fold
944) accuracy: 71.43
945) accuracy: 71.43
946) accuracy: 71.43
947) accuracy: 75.0
948) accuracy: 82.14
949) accuracy: 71.43
950) accuracy: 78.57
951) accuracy: 85.71
952) accuracy: 89.29
953) accuracy: 85.71
954) accuracy: 89.29
955) accuracy: 85.71
956) accuracy: 67.86
957) accuracy: 75.0
958) accuracy: 78.57
959) accuracy: 85.71
960) accuracy: 89.29
961) accuracy: 78.57
962) accuracy: 64.29
963) accuracy: 71.43
964) accuracy: 85.71
965) accuracy: 78.57
966) accuracy: 78.57
967) accuracy: 75.0
968) accuracy: 82.14
969) accuracy: 71.43
970) accuracy: 75.0
971) accuracy: 82.14
972) accuracy: 71.43
973) accuracy: 78.57
974) accuracy: 82.14
975) accuracy: 78.57
976) accuracy: 53.57
977) accuracy: 82.14
978) accuracy: 89.29
979) accuracy: 75.0
980) accuracy: 78.57
981) accuracy: 82.14
982) accuracy: 78.57
983) accuracy: 82.14
984) accuracy: 75.0
985) accuracy: 75.0
986) accuracy: 85.71
987) accuracy: 78.57
988) accuracy: 64.29
989) accuracy: 85.71
990) accuracy: 82.14
991) accuracy: 78.57
992) accuracy: 78.57
993) accuracy: 75.0
994) accuracy: 78.57
995) accuracy: 82.14
996) accuracy: 78.57
997) accuracy: 75.0
998) accuracy: 78.57
999) accuracy: 64.29
1000) accuracy: 75.0

Average accuracy: 76.58537000000003
